mode,window_length,window_step,rseed,time,accuracy,f1
smartphoneatwrist,50,25,93797449,0.907885074615,0.824928774929,0.823644166278
smartphoneatwrist,50,25,81918009,0.900493860245,0.824643874644,0.823092255057
smartphoneatwrist,50,25,61132739,0.904907941818,0.814316239316,0.812643419895
smartphoneatwrist,50,25,37701167,0.882298946381,0.821794871795,0.819771017084
smartphoneatwrist,50,25,78112324,1.03576898575,0.817592592593,0.815877668687
smartphoneatwrist,50,25,25567961,0.905533075333,0.820512820513,0.818300875326
smartphoneatwrist,50,25,22644213,0.913571119308,0.824928774929,0.823083724133
smartphoneatwrist,50,25,74540349,0.893554925919,0.825427350427,0.824820918377
smartphoneatwrist,50,25,98054267,0.911339044571,0.822507122507,0.820596138305
smartphoneatwrist,50,25,71167868,0.904531955719,0.820299145299,0.819010062107
smartphoneatwrist,50,25,16252189,0.910049915314,0.826282051282,0.824345444361
smartphoneatwrist,50,25,1813579,0.908550024033,0.820299145299,0.818217848951
smartphoneatwrist,50,25,39363446,0.908582925797,0.818376068376,0.816502307686
smartphoneatwrist,50,25,855513,0.909583091736,0.825142450142,0.824289923259
smartphoneatwrist,50,25,74041245,0.911684036255,0.820868945869,0.819006514667
smartphoneatwrist,50,25,22950172,0.930593013763,0.819444444444,0.81701707442
smartphoneatwrist,50,25,18426920,0.908447027206,0.82037037037,0.818229610637
smartphoneatwrist,50,25,34295891,0.916414022446,0.825,0.824041387122
smartphoneatwrist,50,25,86828940,0.907256126404,0.818091168091,0.81589903511
smartphoneatwrist,50,25,62062274,0.95503783226,0.824501424501,0.822584536846
smartphoneatpocket,50,25,93797449,0.773444890976,0.6400997151,0.636477335403
smartphoneatpocket,50,25,81918009,0.771955966949,0.648717948718,0.640958835648
smartphoneatpocket,50,25,61132739,0.771961927414,0.641381766382,0.634612884081
smartphoneatpocket,50,25,37701167,0.772475004196,0.642307692308,0.636629124209
smartphoneatpocket,50,25,78112324,0.792181015015,0.64415954416,0.637892025581
smartphoneatpocket,50,25,25567961,0.78141617775,0.645299145299,0.638679760926
smartphoneatpocket,50,25,22644213,0.783212900162,0.652207977208,0.647729192258
smartphoneatpocket,50,25,74540349,0.770937919617,0.65,0.643868992237
smartphoneatpocket,50,25,98054267,0.781580924988,0.642948717949,0.637085047268
smartphoneatpocket,50,25,71167868,0.779171943665,0.648005698006,0.637136241269
smartphoneatpocket,50,25,16252189,0.802449941635,0.650854700855,0.643516346381
smartphoneatpocket,50,25,1813579,0.783776044846,0.657834757835,0.64922764893
smartphoneatpocket,50,25,39363446,0.790906190872,0.632478632479,0.624986902934
