mode,normalized,classifier,rseed,time,accuracy,f1
smartphoneatwrist,True,ExtraTreesClassifier,86828940,0.0486080646515,0.931623931624,0.928799683787
smartphoneatwrist,True,ExtraTreesClassifier,62062274,0.048905134201,0.952991452991,0.950499397204
smartphoneatwrist,True,GaussianNB,93797449,0.0020010471344,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,81918009,0.00186204910278,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,61132739,0.00184106826782,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,37701167,0.00180101394653,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,78112324,0.00180292129517,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,25567961,0.00178599357605,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,22644213,0.00178813934326,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,74540349,0.00178909301758,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,98054267,0.00178599357605,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,71167868,0.00191807746887,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,16252189,0.0018470287323,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,1813579,0.00180006027222,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,39363446,0.00179004669189,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,855513,0.00181698799133,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,74041245,0.00180196762085,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,22950172,0.00179195404053,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,18426920,0.00178813934326,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,34295891,0.00179386138916,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,86828940,0.00187706947327,0.846153846154,0.84439266825
smartphoneatwrist,True,GaussianNB,62062274,0.00183701515198,0.846153846154,0.84439266825
smartphoneatwrist,True,KNeighborsClassifier,93797449,0.0183639526367,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,81918009,0.0181958675385,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,61132739,0.0179209709167,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,37701167,0.0183839797974,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,78112324,0.0180451869965,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,25567961,0.0185399055481,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,22644213,0.0181879997253,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,74540349,0.0180220603943,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,98054267,0.0181500911713,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,71167868,0.0182690620422,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,16252189,0.0180280208588,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,1813579,0.018826007843,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,39363446,0.0182328224182,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,855513,0.0181310176849,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,74041245,0.0181319713593,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,22950172,0.0179769992828,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,18426920,0.0184741020203,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,34295891,0.0185091495514,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,86828940,0.017884016037,0.863247863248,0.849179597498
smartphoneatwrist,True,KNeighborsClassifier,62062274,0.0182738304138,0.863247863248,0.849179597498
smartphoneatwrist,True,MLPClassifier,93797449,1.27062296867,0.935897435897,0.930454976796
smartphoneatwrist,True,MLPClassifier,81918009,1.5557050705,0.944444444444,0.941515087857
smartphoneatwrist,True,MLPClassifier,61132739,1.4104681015,0.91452991453,0.909188005225
smartphoneatwrist,True,MLPClassifier,37701167,0.977813005447,0.92735042735,0.923017400417
smartphoneatwrist,True,MLPClassifier,78112324,1.16446113586,0.905982905983,0.900366823241
smartphoneatwrist,True,MLPClassifier,25567961,1.26560902596,0.940170940171,0.936755973965
smartphoneatwrist,True,MLPClassifier,22644213,1.18227696419,0.935897435897,0.929372160066
smartphoneatwrist,True,MLPClassifier,74540349,1.00870895386,0.923076923077,0.917369590027
smartphoneatwrist,True,MLPClassifier,98054267,1.09243512154,0.91452991453,0.910917528312
smartphoneatwrist,True,MLPClassifier,71167868,1.36374306679,0.923076923077,0.917226931332
smartphoneatwrist,True,MLPClassifier,16252189,1.86480998993,0.91452991453,0.909236556204
smartphoneatwrist,True,MLPClassifier,1813579,1.76239109039,0.91452991453,0.907507223519
smartphoneatwrist,True,MLPClassifier,39363446,1.33352613449,0.940170940171,0.936393910388
smartphoneatwrist,True,MLPClassifier,855513,1.32633519173,0.910256410256,0.905751351905
smartphoneatwrist,True,MLPClassifier,74041245,1.18184804916,0.923076923077,0.91890815609
smartphoneatwrist,True,MLPClassifier,22950172,1.1181910038,0.92735042735,0.923615182311
smartphoneatwrist,True,MLPClassifier,18426920,1.00188207626,0.910256410256,0.903480677713
smartphoneatwrist,True,MLPClassifier,34295891,0.781636953354,0.918803418803,0.912869633017
smartphoneatwrist,True,MLPClassifier,86828940,0.926981925964,0.940170940171,0.938178189704
smartphoneatwrist,True,MLPClassifier,62062274,0.982041120529,0.905982905983,0.898602411354
smartphoneatpocket,True,LogisticRegression,93797449,0.135052919388,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,81918009,0.0908658504486,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,61132739,0.0882458686829,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,37701167,0.0885398387909,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,78112324,0.087249994278,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,25567961,0.0874078273773,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,22644213,0.0865919589996,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,74540349,0.0874371528625,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,98054267,0.086608171463,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,71167868,0.0866730213165,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,16252189,0.0868449211121,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,1813579,0.0863299369812,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,39363446,0.0867698192596,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,855513,0.0867729187012,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,74041245,0.0866711139679,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,22950172,0.0866758823395,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,18426920,0.0866129398346,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,34295891,0.0867590904236,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,86828940,0.0863699913025,0.67094017094,0.655629195699
smartphoneatpocket,True,LogisticRegression,62062274,0.0864150524139,0.67094017094,0.655629195699
smartphoneatpocket,True,RandomForestClassifier,93797449,0.0795021057129,0.679487179487,0.654113855425
smartphoneatpocket,True,RandomForestClassifier,81918009,0.0794298648834,0.696581196581,0.65945405991
smartphoneatpocket,True,RandomForestClassifier,61132739,0.079479932785,0.717948717949,0.697614854605
smartphoneatpocket,True,RandomForestClassifier,37701167,0.0772888660431,0.688034188034,0.667334929355
smartphoneatpocket,True,RandomForestClassifier,78112324,0.0791411399841,0.692307692308,0.674206960354
smartphoneatpocket,True,RandomForestClassifier,25567961,0.0808601379395,0.649572649573,0.614740075283
smartphoneatpocket,True,RandomForestClassifier,22644213,0.0786800384521,0.688034188034,0.656756323001
smartphoneatpocket,True,RandomForestClassifier,74540349,0.0792701244354,0.662393162393,0.642830811679
smartphoneatpocket,True,RandomForestClassifier,98054267,0.0789639949799,0.662393162393,0.624494352992
smartphoneatpocket,True,RandomForestClassifier,71167868,0.0794200897217,0.683760683761,0.651052551053
smartphoneatpocket,True,RandomForestClassifier,16252189,0.0789709091187,0.65811965812,0.624126108353
smartphoneatpocket,True,RandomForestClassifier,1813579,0.078439950943,0.666666666667,0.624802244808
smartphoneatpocket,True,RandomForestClassifier,39363446,0.0799190998077,0.692307692308,0.663527624901
smartphoneatpocket,True,RandomForestClassifier,855513,0.0788161754608,0.649572649573,0.617886889197
smartphoneatpocket,True,RandomForestClassifier,74041245,0.0861449241638,0.679487179487,0.652981315167
smartphoneatpocket,True,RandomForestClassifier,22950172,0.0861039161682,0.662393162393,0.627925604291
smartphoneatpocket,True,RandomForestClassifier,18426920,0.0801160335541,0.679487179487,0.648308689734
smartphoneatpocket,True,RandomForestClassifier,34295891,0.0795061588287,0.705128205128,0.675902482583
smartphoneatpocket,True,RandomForestClassifier,86828940,0.0784327983856,0.696581196581,0.665016453073
smartphoneatpocket,True,RandomForestClassifier,62062274,0.0780830383301,0.688034188034,0.659854466751
smartphoneatpocket,True,ExtraTreesClassifier,93797449,0.0513391494751,0.675213675214,0.651224029007
smartphoneatpocket,True,ExtraTreesClassifier,81918009,0.0512900352478,0.67094017094,0.63880928725
smartphoneatpocket,True,ExtraTreesClassifier,61132739,0.0547251701355,0.675213675214,0.641733676647
smartphoneatpocket,True,ExtraTreesClassifier,37701167,0.0590901374817,0.705128205128,0.687905259168
smartphoneatpocket,True,ExtraTreesClassifier,78112324,0.0513379573822,0.688034188034,0.6656891488
smartphoneatpocket,True,ExtraTreesClassifier,25567961,0.0513799190521,0.679487179487,0.653830294029
smartphoneatpocket,True,ExtraTreesClassifier,22644213,0.0512330532074,0.709401709402,0.674822593715
smartphoneatpocket,True,ExtraTreesClassifier,74540349,0.0514430999756,0.700854700855,0.672162947705
smartphoneatpocket,True,ExtraTreesClassifier,98054267,0.0507810115814,0.709401709402,0.693163841912
smartphoneatpocket,True,ExtraTreesClassifier,71167868,0.0515098571777,0.666666666667,0.637523318317
smartphoneatpocket,True,ExtraTreesClassifier,16252189,0.0514018535614,0.700854700855,0.674863266025
smartphoneatpocket,True,ExtraTreesClassifier,1813579,0.051117181778,0.67094017094,0.640270134292
smartphoneatpocket,True,ExtraTreesClassifier,39363446,0.0509011745453,0.692307692308,0.676755613749
smartphoneatpocket,True,ExtraTreesClassifier,855513,0.0513248443604,0.696581196581,0.670843776107
smartphoneatpocket,True,ExtraTreesClassifier,74041245,0.0513319969177,0.662393162393,0.633972347635
smartphoneatpocket,True,ExtraTreesClassifier,22950172,0.0533859729767,0.726495726496,0.709141902861
smartphoneatpocket,True,ExtraTreesClassifier,18426920,0.0516021251678,0.696581196581,0.667625985273
smartphoneatpocket,True,ExtraTreesClassifier,34295891,0.0505330562592,0.65811965812,0.629581681755
smartphoneatpocket,True,ExtraTreesClassifier,86828940,0.0512328147888,0.700854700855,0.677468793919
